problemTitle,language,code
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\nint thirdMax(int* nums, int numsSize) {\n    long int m1=LONG_MIN,m2=LONG_MIN,m3=LONG_MIN;\n    int i;\n    for(i=0;i<numsSize;i++){\n        if(nums[i]==m1 || nums[i]==m2 || nums[i]==m3) continue;\n        if(nums[i]>m1){\n            m3=m2;\n            m2=m1;\n            m1=nums[i];\n        }\n        else if(nums[i]>m2){\n            m3=m2;\n            m2=nums[i];\n        }\n        else if(nums[i]>m3)\n            m3=nums[i];\n\n    }\n    if(m3==LONG_MIN){\n        return(m1);\n    }\n    return (m3);\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n\n    long first = LONG_MIN;\n    long second = LONG_MIN;\n    long third = LONG_MIN;\n\n    for (int i = 0; i < numsSize; i++) {\n        if (nums[i] > first) {\n            first = nums[i];\n        }\n    }\n\n    for (int i = 0; i < numsSize; i++) {\n        if (nums[i] < first && nums[i] > second) {\n            second = nums[i];\n        }\n    }\n\n    for (int i = 0; i < numsSize; i++) {\n        if (nums[i] < second && nums[i] > third) {\n            third = nums[i];\n        }\n    }\n\n    int distinctCount = 0;\n    if (first != LONG_MIN) distinctCount++;\n    if (second != LONG_MIN) distinctCount++;\n    if (third != LONG_MIN) distinctCount++;\n\n    if (distinctCount < 3) {\n        return (int)first;\n    } else {\n        return (int)third;\n    }\n}\n"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n   long long max=LLONG_MIN;\n   long long max2=LLONG_MIN;\n   long long max3=LLONG_MIN;\n\n   for(int i=0;i<numsSize;i++)\n   {\n    if(nums[i]==max || nums[i]==max2 || nums[i]==max3)\n    continue;\n    if(nums[i]>max)\n    {\n        max3=max2;\n        max2=max;\n        max=nums[i];\n    }\n    else if(nums[i]>max2)\n    {\n        max3=max2;\n        max2=nums[i];\n    }\n    else if(nums[i]>=max3)\n    {\n        max3=nums[i];\n    }\n   }\n   if(max3==LLONG_MIN)\n   return max;\n\n   return max3;\n}\n    \nint main()\n{\nint n;\nscanf(""%d"",&n);\nint a[n];\nfor(int i=0;i<n;i++)\n{\nscanf(""%d"",&a[i]);\n}\nprintf(""%d"",thirdMax(a,n));\n}"
Third Maximum Number,c,"int compare(const void *a, const void *b){\n    int arg1 = *(const int *)a;\n    int arg2 = *(const int *)b;\n    if(arg1>arg2) return -1;\n    if(arg1<arg2) return 1;\n    return 0;\n}\n\n\nint thirdMax(int* nums, int numsSize) {\n    qsort(nums, numsSize, sizeof(int), compare);\n    int i=0;\n    for(int j=1; j<numsSize; j++){\n        if(nums[i]!=nums[j]){\n            i++;\n            nums[i]=nums[j];\n        }\n    }\n    numsSize = i+1;\n    int val;\n\n    if(numsSize>=3)\n        val = nums[2];\n    else\n        val = nums[0];\n    \n    return val;\n\n\n\n    \n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n        int m1=INT_MIN,m2=INT_MIN,m3=INT_MIN,f=0,c=0;\n        for(int i=0;i<numsSize;i++){\n            if(m1<nums[i]){\n                m1=nums[i];\n            }\n        }\n        for(int i=0;i<numsSize;i++){\n            if(m2<nums[i] && m1!=nums[i]){\n                m2=nums[i];\n            }\n        }\n        for(int i=0;i<numsSize;i++){\n            if(m3<=nums[i] && m2!=nums[i] && m1!=nums[i]){\n                m3=nums[i];\n                f=1;\n            }\n        }\n        if(f==0)return m1;\n        return m3;\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    int first,second,third;\n    if(numsSize<3){\n        if(nums[0]>nums[1]){\n            return nums[0];\n        }else{\n            return nums[1];\n        }\n    }\n    else{\n        for (int i = 0; i < numsSize; i++) {\n            int n = nums[i];\n            if (n == first || n == second || n == third)\n                continue;\n            if (n > first) {\n                third = second;\n                second = first;\n                first = n;\n            }\n            else if (n > second) {\n                third = second;\n                second = n;\n            }\n            else if (n > third) {\n                third = n;\n            }\n        }\n    return third;\n    }\n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n    long long int max1=LONG_MIN, max2=LONG_MIN, max3=LONG_MIN;\n    for (int i=0;i<numsSize;i++) {\n        int n=nums[i];\n        if (n==max1||n==max2||n==max3) \n        continue;\n        if (n>max1) {\n            max3=max2;\n            max2=max1;\n            max1=n;\n        } else if(n>max2) {\n            max3=max2;\n            max2=n;\n        } else if(n>max3) {\n            max3=n;\n        }\n    }\n    if(max3==LONG_MIN){\n        return max1;\n    }\n    return max3;\n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n    long long int max1=LONG_MIN, max2=LONG_MIN, max3=LONG_MIN;\n    for (int i=0;i<numsSize;i++) {\n        int n=nums[i];\n        if (n==max1||n==max2||n==max3) \n        continue;\n        if (n>max1) {\n            max3=max2;\n            max2=max1;\n            max1=n;\n        } else if(n>max2) {\n            max3=max2;\n            max2=n;\n        } else if(n>max3) {\n            max3=n;\n        }\n    }\n    if(max3==LONG_MIN){\n        return max1;\n    }\n    return max3;\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long long firstmax = LLONG_MIN;\n    long long secondmax = LLONG_MIN;\n    long long thirdmax = LLONG_MIN;\n    for(int i=0; i<numsSize; i++){\n        if(nums[i]==firstmax || nums[i]==secondmax || nums[i]==thirdmax){\n            continue;\n        }\n        else if(nums[i]>firstmax){\n            thirdmax = secondmax;\n            secondmax = firstmax;\n            firstmax = nums[i];\n        }\n        else if(nums[i]>secondmax){\n            thirdmax = secondmax;\n            secondmax = nums[i];\n        }\n        else if(nums[i]>thirdmax){\n            thirdmax = nums[i];\n        }\n        \n    }\n    return (thirdmax==LLONG_MIN)?firstmax:thirdmax;\n}"
Third Maximum Number,c,"// Third Maximum Number\n#include <limits.h>\n\nint thirdMax(int* nums, int numsSize) {\n    long first = LONG_MIN, second = LONG_MIN, third = LONG_MIN;\n\n    for (int i = 0; i < numsSize; i++) {\n        long x = nums[i];\n\n        if (x == first || x == second || x == third)\n            continue;\n\n        if (x > first) {\n            third = second;\n            second = first;\n            first = x;\n        } else if (x > second) {\n            third = second;\n            second = x;\n        } else if (x > third) {\n            third = x;\n        }\n    }\n\n    return (third == LONG_MIN) ? (int)first : (int)third;\n}\n"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long int max1=LONG_MIN,max2=LONG_MIN,max3=LONG_MIN;\n    int i;\n    for(i=0;i<numsSize;i++){\n        if(nums[i]==max1 || nums[i]==max2 || nums[i]==max3) continue;\n        if(nums[i]>max1){\n            max3=max2;\n            max2=max1;\n            max1=nums[i];\n        }\n        else if(nums[i]>max2){\n            max3=max2;\n            max2=nums[i];\n        }\n        else if(nums[i]>max3)\n            max3=nums[i];\n\n    }\n    if(max3==LONG_MIN){\n        return(max1);\n    }\n    return (max3);\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    for (int i = 0; i < numsSize; i++) {\n        for (int j = i + 1; j < numsSize; j++) {\n            if (nums[i] < nums[j]) {\n                int temp = nums[i];\n                nums[i] = nums[j];\n                nums[j] = temp;\n            }\n        }\n    }\n    int count, i = 0;\n    while (nums[i] != '\0') {\n        if (nums[i] != nums[i+1]) {\n            continue;\n        }else{\n            nums[i + 1] = nums[i + 2];\n        }\n        i++;\n    }\n    return nums[2];\n}"
